obj type,pc match method,belief history,n_points history
OrangeCover,fscore,"[0.8510451912879944, 0.9852168560028076, 0.9982849955558777, 0.9994969367980957, 0.9996991753578186, 0.9997538924217224, 0.999798595905304, 0.999798595905304, 0.999798595905304, 0.9998352527618408, 0.9998352527618408, 0.9998352527618408]","[558, 2678, 5035, 7614, 10564, 14002, 17980, 17980, 17980, 20193, 20193, 20193]"
OrangeCover,fscore,"[0.858410656452179, 0.9896680116653442, 0.998828113079071, 0.9999287724494934, 0.9999961256980896, 0.9999997615814209, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1105, 3430, 5199, 7140, 9445, 12295, 15846, 20452, 20452, 20452, 20452, 20452]"
OrangeCover,fscore,"[0.8775033950805664, 0.9920264482498169, 0.999377965927124, 0.999966561794281, 0.999998152256012, 0.9999998807907104, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[726, 2397, 4037, 5944, 7903, 10394, 13126, 16740, 19615, 23659, 23659, 23659]"
OrangeCover,fscore,"[0.8562067151069641, 0.9842138886451721, 0.998622477054596, 0.9998863339424133, 0.9999940395355225, 0.9999996423721313, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1085, 2929, 4687, 6595, 8818, 11399, 14912, 19296, 19296, 19296, 19296, 19296]"
OrangeCover,fscore,"[0.8028245568275452, 0.9777373671531677, 0.998670756816864, 0.9999109506607056, 0.9999952912330627, 0.9999996423721313, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[750, 2390, 4133, 6021, 8089, 10350, 13427, 16600, 19471, 19471, 19471, 19471]"
OrangeCover,fscore,"[0.7976879477500916, 0.9836611151695251, 0.9988329410552979, 0.9999389052391052, 0.9999966025352478, 0.9999997615814209, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[812, 2471, 4073, 5996, 8010, 10470, 13355, 16860, 20107, 20107, 20107, 20107]"
OrangeCover,fscore,"[0.8220772743225098, 0.9802373647689819, 0.9982855916023254, 0.9999015927314758, 0.9999938011169434, 0.9999995231628418, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[734, 2260, 3845, 5809, 7852, 10190, 13018, 16568, 19366, 21666, 21666, 21666]"
OrangeCover,fscore,"[0.9128326773643494, 0.9895317554473877, 0.9987848997116089, 0.9998612999916077, 0.9999887347221375, 0.9999992847442627, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1215, 3024, 4814, 6729, 8887, 11511, 14638, 18531, 23412, 29835, 29835, 29835]"
OrangeCover,fscore,"[0.7730382084846497, 0.9726462960243225, 0.9984274506568909, 0.9999070763587952, 0.9999940395355225, 0.9999995231628418, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[750, 2432, 4090, 5966, 8026, 10420, 13171, 16639, 20274, 20274, 20274, 20274]"
OrangeCover,fscore,"[0.7966834306716919, 0.9826224446296692, 0.9985779523849487, 0.9998968839645386, 0.9999942779541016, 0.9999995827674866, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[781, 2412, 3949, 5829, 7711, 9761, 12612, 16107, 18101, 18101, 18101, 18101]"
OrangeCover,chamfer,"[0.9164785742759705, 0.9944085478782654, 0.9994642734527588, 0.9999446868896484, 0.9999967813491821, 0.9999997615814209, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1157, 3442, 5249, 7192, 9360, 11971, 15151, 19113, 24198, 30853, 30853, 30853]"
